epi_week,state,loc,loc_type,disease,cases,incidence_per_100000
191609,PA,READING,CITY,DIPHTHERIA,1,0.97000002861022949
191613,PA,READING,CITY,DIPHTHERIA,1,0.97000002861022949
191627,PA,READING,CITY,DIPHTHERIA,1,0.97000002861022949
191629,PA,READING,CITY,DIPHTHERIA,1,0.97000002861022949
191630,PA,READING,CITY,DIPHTHERIA,1,0.97000002861022949
191631,PA,READING,CITY,DIPHTHERIA,1,0.97000002861022949
191633,PA,READING,CITY,DIPHTHERIA,1,0.97000002861022949
191636,PA,READING,CITY,DIPHTHERIA,1,0.97000002861022949
191638,PA,READING,CITY,DIPHTHERIA,1,0.97000002861022949
191640,PA,READING,CITY,DIPHTHERIA,1,0.97000002861022949
191643,PA,READING,CITY,DIPHTHERIA,1,0.97000002861022949
191702,PA,READING,CITY,DIPHTHERIA,1,0.95999997854232788
191703,PA,READING,CITY,DIPHTHERIA,1,0.95999997854232788
191704,PA,READING,CITY,DIPHTHERIA,1,0.95999997854232788
191705,PA,READING,CITY,DIPHTHERIA,1,0.95999997854232788
191708,PA,READING,CITY,DIPHTHERIA,1,0.95999997854232788
191721,PA,READING,CITY,DIPHTHERIA,1,0.95999997854232788
191731,PA,READING,CITY,DIPHTHERIA,1,0.95999997854232788
191733,PA,READING,CITY,DIPHTHERIA,1,0.95999997854232788
191806,PA,READING,CITY,DIPHTHERIA,1,0.949999988079071
191815,PA,READING,CITY,DIPHTHERIA,1,0.949999988079071
191819,PA,READING,CITY,DIPHTHERIA,1,0.949999988079071
191821,PA,READING,CITY,DIPHTHERIA,1,0.949999988079071
191823,PA,READING,CITY,DIPHTHERIA,1,0.949999988079071
191824,PA,READING,CITY,DIPHTHERIA,1,0.949999988079071
191829,PA,READING,CITY,DIPHTHERIA,1,0.949999988079071
191830,PA,READING,CITY,DIPHTHERIA,1,0.949999988079071
191833,PA,READING,CITY,DIPHTHERIA,1,0.949999988079071
191836,PA,READING,CITY,DIPHTHERIA,1,0.949999988079071
191838,PA,READING,CITY,DIPHTHERIA,1,0.949999988079071
191845,PA,READING,CITY,DIPHTHERIA,1,0.949999988079071
